ts,p1,p2,p3,p4
8500,1034,218,21,14
8510,1047,221,0,0
8520,1066,225,30,18
8530,1010,213,0,0
8540,1068,225,2,0
8550,1027,218,21,15
8560,1039,221,0,0
8570,1059,225,30,18
8580,1008,213,0,0
8590,1075,225,2,0
8600,1054,217,21,15
8610,1086,220,0,0
8620,1119,225,30,18
8630,1071,213,0,0
8640,1137,225,1,0
8650,1104,217,22,15
8660,1127,220,0,0
8670,1155,225,30,18
8680,1103,213,0,0
8690,1162,225,1,0
8700,1115,217,22,15
8710,1116,220,0,0
8720,1118,226,30,17
8730,1045,213,0,0
8740,1073,226,1,0
8750,1014,218,22,15
8760,1006,221,0,0
8770,1011,226,30,17
8780,937,213,0,0
8790,978,225,1,0
8800,924,218,22,15
8810,927,221,0,0
8820,952,226,30,18
8830,904,214,0,0
8840,967,226,1,0
8850,938,219,23,16
8860,967,222,0,0
8870,1016,227,30,17
8880,992,214,0,0
8890,1078,227,1,0
8900,1081,220,23,16
8910,1128,222,0,0
8920,1181,227,29,17
8930,1144,214,0,0
8940,1227,226,0,0
8950,1217,219,24,16
8960,1266,222,0,0
8970,1316,227,29,17
8980,1273,214,0,0
8990,1352,226,0,0
9000,1325,218,24,16
9010,1331,220,0,0
9020,1355,226,29,17
9030,1290,213,0,0
9040,1344,225,0,0
9050,1301,218,24,16
9060,1303,220,0,0
9070,1320,225,29,17
9080,1238,212,0,0
9090,1261,224,0,0
9100,1193,217,25,17
9110,1168,220,0,0
9120,1150,225,29,17
9130,1045,212,0,0
9140,1051,224,0,0
9150,966,217,25,17
9160,934,219,0,0
9170,928,225,28,16
9180,844,212,0,0
9190,880,224,0,0
9200,832,217,26,17
9210,836,219,0,0
9220,866,225,28,16
9230,822,212,0,0
9240,899,224,0,0
9250,894,217,26,17
9260,925,219,0,0
9270,993,225,29,16
9280,975,212,0,0
9290,1066,224,0,0
9300,1055,217,26,18
9310,1093,219,0,0
9320,1152,225,28,16
9330,1124,212,0,0
9340,1199,224,0,0
9350,1181,218,26,18
9360,1197,219,0,0
9370,1222,225,28,16
9380,1154,212,0,0
9390,1190,224,0,0
9400,1141,217,27,18
9410,1136,219,0,0
9420,1156,225,28,16
9430,1093,212,0,0
9440,1147,224,0,0
9450,1114,217,27,18
9460,1129,219,0,0
9470,1166,226,27,16
9480,1114,212,0,0
9490,1179,225,0,0
9500,1158,218,28,19
9510,1185,220,0,0
9520,1235,226,27,15
9530,1194,213,0,0
9540,1264,225,0,0
9550,1244,219,28,19
9560,1259,220,0,0
9570,1307,226,27,15
9580,1272,213,0,0
9590,1354,225,0,0
9600,1331,219,28,19
9610,1333,220,0,0
9620,1364,227,27,15
9630,1303,214,0,0
9640,1362,226,0,0
9650,1351,219,28,19
9660,1381,220,0,0
9670,1432,227,27,15
9680,1378,214,0,0
9690,1439,226,0,0
9700,1417,219,28,19
9710,1452,220,0,0
9720,1524,227,26,15
9730,1504,214,0,0
9740,1612,225,0,0
9750,1634,219,29,19
9760,1661,220,0,0
9770,1715,228,26,15
9780,1674,214,0,0
9790,1734,226,0,0
9800,1703,220,29,19
9810,1698,220,0,0
9820,1729,227,26,15
9830,1665,214,0,0
9840,1721,226,0,0
9850,1698,220,29,19
9860,1716,219,0,0
9870,1779,227,26,15
9880,1730,214,0,0
9890,1802,226,0,0
9900,1785,220,29,19
9910,1787,219,0,0
9920,1815,227,26,15
9930,1737,214,0,0
9940,1774,225,0,0
9950,1738,219,29,19
9960,1734,219,0,0
9970,1782,227,25,15
9980,1728,214,0,0
9990,1792,225,0,0
10000,1778,219,30,19
10010,1789,218,0,0
10020,1858,226,25,14
10030,1817,214,0,0
10040,1875,225,0,0
10050,1836,219,29,20
10060,1811,218,0,0
10070,1829,227,25,14
